conflict,title,source,url,publish_date,population
Ukraine,"At least 55 Ghanaians killed in Russia-Ukraine war, Minister Samuel Okudzeto Ablakwa says",bbc.com,https://www.bbc.com/news/articles/cgl5gxg3zj9o,2026-02-27,white
Ukraine,"Affected by the war in Ukraine, Germany works to recover its economy",npr.org,https://www.npr.org/2026/02/27/nx-s1-5722866/affected-by-the-war-in-ukraine-germany-works-to-recover-its-economy,2026-02-27,white
Ukraine,"At least 55 Ghanaians killed in Russia-Ukraine war, Minister Samuel Okudzeto Ablakwa says",bbc.com,https://www.bbc.com/news/articles/cgl5gxg3zj9o?at_medium=RSS&at_campaign=rss,2026-02-27,white
Ukraine,A team of midlife cheerleaders in Ukraine refuses to let war defeat them,npr.org,https://www.npr.org/2026/02/27/nx-s1-5712284/russia-ukraine-war-midlife-women-cheerleading,2026-02-27,white
Ukraine,"U.S., Ukraine discuss post-war reconstruction as Russia pummels grid",nbcnews.com,https://www.nbcnews.com/world/ukraine/us-ukraine-discuss-post-war-reconstruction-russia-pummels-grid-rcna260778,2026-02-26,white
Ukraine,Prisoners of war: Ghana appeal to Ukraine to release two citizens in captivity as POW,bbc.com,https://www.bbc.com/pidgin/articles/cwy8wevpn3lo,2026-02-26,white
Ukraine,Ukraine community meets in Northampton to mark 'unbelievable' war,bbc.com,https://www.bbc.com/news/articles/c98g7k24l8wo,2026-02-25,white
Ukraine,Russia Launches Major Attack Hours Before U.S.-Ukraine Talks,nytimes.com,https://www.nytimes.com/video/world/europe/100000010739658/russia-drone-attack-ukraine-us-negotiation.html,2026-02-26,white
Ukraine,Ukraine says Russia launched a major aerial attack before Kyiv's talks with US,apnews.com,https://apnews.com/article/russia-ukraine-war-us-talks-geneva-attack-74adada5f3cf9f56423d6c15100a6dbc,2026-02-26,white
Ukraine,"S.Africa deaths, Kenya court case show citizens drawn into Ukraine war",reuters.com,https://www.reuters.com/world/africa/kenyan-court-charges-man-with-recruiting-people-fight-russia-2026-02-26/,2026-02-26,white
Ukraine,"Russia signals no rush for a deal to end Ukraine war and ""no deadlines"" as Trump pushes for a ceasefire",cbsnews.com,https://www.cbsnews.com/news/russia-ukraine-war-no-rush-for-peace-moscow-says-despite-trump-push/,2026-02-26,white
Ukraine,"Russia says sending British troops to Ukraine would prolong war, not end it",reuters.com,https://www.reuters.com/world/europe/russia-says-sending-british-troops-ukraine-would-prolong-war-not-end-it-2026-02-26/,2026-02-26,white
Ukraine,Kenyan police arrest man accused of recruiting fighters for Russia's war in Ukraine,apnews.com,https://apnews.com/article/kenya-russia-recruits-fighting-ukraine-war-f373f0f715a259f58ce8acfae08e1db3,2026-02-26,white
Ukraine,"US, Ukraine to discuss post-war reconstruction at Geneva talks",reuters.com,https://www.reuters.com/world/europe/us-ukraine-discuss-post-war-reconstruction-geneva-talks-2026-02-26/,2026-02-26,white
Ukraine,"Latvian Foreign Minister Baiba Braže says ""Russia is not winning"" war with Ukraine",cbsnews.com,https://www.cbsnews.com/video/latvian-foreign-minister-baiba-braze-russia-not-winning-war-ukraine/,2026-02-25,white
Ukraine,"After four years of war in Ukraine, how does each side see the conflict?",npr.org,https://www.npr.org/2026/02/24/nx-s1-5725396/after-four-years-of-war-in-ukraine-how-does-each-side-see-the-conflict,2026-02-24,white
Ukraine,Baltimore's lifeline to Ukraine as war rages 4 years after Russian invasion,cbsnews.com,https://www.cbsnews.com/baltimore/news/baltimores-partnership-odesa-ukraine-hope-four-years-war/,2026-02-24,white
Ukraine,Ukraine to meet Trump envoys ahead of high-stakes Geneva talks with Russia as war enters fifth year,foxnews.com,https://www.foxnews.com/world/ukraine-meet-trump-envoys-ahead-high-stakes-geneva-talks-russia-war-enters-fifth-year,2026-02-25,white
Ukraine,"Baltimore's ties with Odesa, Ukraine provides lifeline four years into war",cbsnews.com,https://www.cbsnews.com/baltimore/video/baltimores-ties-with-odesa-ukraine-provides-lifeline-four-years-into-war/,2026-02-24,white
Ukraine,Ukrainians in Chicago reflect on 4 years since Russia's invasion of Ukraine,cbsnews.com,https://www.cbsnews.com/chicago/news/chicago-russia-ukraine/,2026-02-24,white
Ukraine,Ukrainians in Chicago reflect on Russia's invasion on Ukraine 4 years later,cbsnews.com,https://www.cbsnews.com/chicago/video/ukrainians-in-chicago-reflect-on-russias-invasion-on-ukraine-4-years-later/,2026-02-24,white
Ukraine,"Baltimore's partnership with Odesa, Ukraine provides hope four years into war",cbsnews.com,https://www.cbsnews.com/baltimore/video/baltimores-partnership-with-odesa-ukraine-provides-hope-four-years-into-war/,2026-02-24,white
Ukraine,An interactive map of 4 years of war in Ukraine,apnews.com,https://apnews.com/article/russia-ukraine-war-ukraine-vladimir-putin-0000019c8ad8dd59afffcadd1e100000,2026-02-24,white
Ukraine,"Ukraine War: 'We love NI but miss our old lives,' pupils say",bbc.com,https://www.bbc.com/news/articles/c78xzqll771o?at_medium=RSS&at_campaign=rss,2026-02-24,white
Ukraine,Ramaphosa thanks Putin for release of South Africans lured into Russia-Ukraine war,bbc.com,https://www.bbc.com/news/articles/c2d1j7klzpgo?at_medium=RSS&at_campaign=rss,2026-02-24,white
